description,category,disposal_instruction,common_confusion,material_composition
transparent tin can,Metal,Ensure it is clean and empty before recycling.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
broken industrial banana peel,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
used glass Natural scarf,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
empty massive Brand B food packaging,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
paper bag,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
green Generic glass jar containing residue,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
used large Bulk coffee grounds containing residue,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
stained oversized spotted cigarette butt,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
soiled patterned Budget glass bottle,Glass,"Place in glass recycling bin, sorted by color if required.",,"Silica-based material, may contain additives for color or strength."
torn travel-sized Homemade file box with label attached,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
ripped orange Supermarket pine needles with contents,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
broken fun-sized Local plant cuttings,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
grass clippings,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
ripped striped plastic tray with product remaining,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
clean green paper towel sealed,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
large brown orange peel,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
soiled standard patterned Homemade glass container leaking,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
full metal pipe,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
damaged standard meat scraps,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
striped synthetic Artisanal carpet piece leaking,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
dry packaging box with liquid inside,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
intact large striped orange peel,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
dirty industrial floral Generic leftover pasta,Food Organics,Use compostable bags for collection if required.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
empty mini gold gloves,Textile Trash,Cut into rags for home use if appropriate.,,"Fabric made from natural or synthetic fibers, may include blends."
gold rubber band with contents,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
clean compact hedge trimmings,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
clean regular-sized purple Bulk egg shells,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
partial Commercial meat scraps sealed,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
intact enormous red fabric tool,Miscellaneous Trash,Hazardous items like batteries require special disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
paper cup with food residue,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
Natural curtain with product remaining,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
dry tiny metal screw,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
yellow glass container,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
stained regular-sized vacuum cleaner bag,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
personal yellow pillow case containing residue,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
regular-sized glass candle holder,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
full pink Eco-Friendly toy,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
broken compact Designer rug partially filled,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
intact red orange peel,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
soiled brown Eco-Friendly light bulb,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
soiled floral receipt with product remaining,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
red shampoo bottle,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
standard blue food packaging,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
folded Brand A file box partially filled,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
travel-sized Organic paper plate,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
dry shipping box,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
used mini Designer pencil,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
empty Commercial vacuum dust,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
black glass vase,Glass,Rinse container before recycling.,,"Silica-based material, may contain additives for color or strength."
used industrial white Premium sticky note,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
crumpled brown magazine empty,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
travel-sized toilet paper roll,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
broken small green Premium office paper,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
damaged standard yellow aluminum can with food residue,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
medium orange food tin,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
yellow aluminum can with liquid inside,Metal,Ensure it is clean and empty before recycling.,,"Aluminum, steel, tin or mixed metal alloys."
Organic vacuum cleaner bag leaking,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
medium glass bottle,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
purple paperback book,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
stained oversized plastic bag,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
full mini leather Commercial CD/DVD,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
dry tiny brown Brand B leftover pasta,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
dry enormous yellow Artisanal battery empty,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
oversized patterned glass cup,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
tiny Natural file box with label attached,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
oversized orange Local drinking glass,Glass,Rinse container before recycling.,,"Silica-based material, may contain additives for color or strength."
torn Brand A grass clippings with label attached,Vegetation,Check if your area has seasonal leaf collection.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
dirty potted plant,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
wrinkled appliance box containing residue,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
wet medium floral Premium leaves with food residue,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
new silver glass cup containing residue,Glass,"Place in glass recycling bin, sorted by color if required.",,"Silica-based material, may contain additives for color or strength."
stained industrial pink synthetic silk tie,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
folded tiny floral orange peel,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
partial industrial Homemade shampoo bottle with liquid inside,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
soiled striped Eco-Friendly tin can with contents,Metal,Ensure it is clean and empty before recycling.,,"Aluminum, steel, tin or mixed metal alloys."
intact tiny patterned Bulk copper wire,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
stained patterned cotton towel,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
wet Homemade metal cutlery,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
wet gold perfume bottle,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
dirty black Homemade CD/DVD sealed,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
stained orange wine bottle,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
personal brown Designer olive pits,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
folded standard silver Artisanal shoe box containing residue,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
broken Supermarket fallen leaves with product remaining,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
pen with liquid inside,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
dry industrial Eco-Friendly moving box,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
stained mini pink paper rubber band with product remaining,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
red Designer coffee grounds with product remaining,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
clean toilet paper roll,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
orange plastic cup with product remaining,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
Imported glass sheet,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
clean gold Eco-Friendly tin can leaking,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
massive tool,Miscellaneous Trash,Hazardous items like batteries require special disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
empty plastic old t-shirt,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
orange tool with label attached,Miscellaneous Trash,Place truly non-recyclable items in general waste.,,Various non-recyclable materials often with mixed composition.
regular-sized black Budget disposable diaper with label attached,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
damaged black window glass,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
wrinkled white worn jeans,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
dirty champagne bottle,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
crumpled wool sweater,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
broken regular-sized black Commercial perfume bottle,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
industrial floral packaging box leaking,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
full medium brown Designer soda can with contents,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
industrial transparent plant cuttings,Vegetation,Check if your area has seasonal leaf collection.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
dirty mini pink metal cutlery,Metal,Ensure it is clean and empty before recycling.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
torn enormous old t-shirt,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
folded paper towel with food residue,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
stained medium orange notebook,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
enormous spotted six-pack holder containing residue,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
crumpled small yellow palm fronds,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
intact yellow corrugated box,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
torn travel-sized orange paper towel,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
broken Commercial spoiled food with food residue,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
fun-sized Local glass sheet,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
partial wine bottle containing residue,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
used green Eco-Friendly six-pack holder,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
clean white coffee grounds,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
crumpled blue plastic-metal composite with contents,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
soiled oversized transparent garden waste,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
new purple beverage carrier,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
pink Generic drinking glass,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
new spotted Bulk egg carton partially filled,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
stained oversized patterned silicone curtain,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
clean standard multi-colored Natural brochure,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
stained small silver sticky note,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
enormous gold light bulb with contents,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
blue sticky note,Paper,Ensure it is clean and dry before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
used toy,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
dirty floral wine bottle,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
empty dairy products,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
personal red food scraps sealed,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
folded mini silver paper Imported carpet piece,Textile Trash,Some retailers accept old clothing for recycling.,,"Fabric made from natural or synthetic fibers, may include blends."
full large silver Commercial rubber band,Miscellaneous Trash,Consider if items can be repaired or repurposed.,,Various non-recyclable materials often with mixed composition.
Generic linen cloth,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
torn medium brown plastic-metal composite with product remaining,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
used fun-sized beverage carrier,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
damaged standard transparent Local linen cloth,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
travel-sized wrapping paper,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
torn medium transparent beverage carrier,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
purple Bulk milk jug leaking,Plastic,Remove labels if possible.,,Polymer materials derived from petrochemicals or plant-based sources.
purple toilet paper roll,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
enormous red bread,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
tiny rubber Generic hat containing residue,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
partial silver plastic lid empty,Plastic,Remove labels if possible.,,Polymer materials derived from petrochemicals or plant-based sources.
mini spotted Homemade plant cuttings partially filled,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
regular-sized yellow Homemade food packaging,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
clean transparent leather wood piece,Miscellaneous Trash,Hazardous items like batteries require special disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
partial gold palm fronds empty,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
compact Artisanal hedge trimmings,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
folded Brand A tissue paper,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
broken multi-colored six-pack holder,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
oversized Budget linen cloth,Textile Trash,Some retailers accept old clothing for recycling.,,"Fabric made from natural or synthetic fibers, may include blends."
soiled striped beverage carrier,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
new mini pink nail,Metal,Ensure it is clean and empty before recycling.,,"Aluminum, steel, tin or mixed metal alloys."
torn floral polyester jacket,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
gold synthetic styrofoam,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
dirty industrial ceramic mug with label attached,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
wrinkled oversized paper bag,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
used compact Bulk shampoo bottle empty,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
regular-sized Premium food tin with food residue,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
travel-sized orange copper wire,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
torn pink packaging box,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
partial personal bread,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
dry gold Natural wrapping paper,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
dirty Generic bush clippings partially filled,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
wrinkled oversized striped cotton scarf partially filled,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
empty Designer olive pits,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
dry standard takeout container,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
empty large striped Supermarket bubble wrap with contents,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
dirty fun-sized orange Brand B CD case,Plastic,Remove labels if possible.,,Polymer materials derived from petrochemicals or plant-based sources.
orange peel empty,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
clean enormous orange Bulk nail,Metal,Place in metal recycling bin.,,"Aluminum, steel, tin or mixed metal alloys."
clean industrial spoiled food,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
clean massive flowers with liquid inside,Vegetation,Place in green waste bin or compost.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
crumpled spotted Imported yogurt container,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
industrial green Supermarket mirror fragment,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
full personal patterned Artisanal paper towel,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
used massive Local envelope,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
torn personal packaging box,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
travel-sized striped flower petals leaking,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
new floral metal pipe empty,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
dry large pink beer bottle sealed,Glass,Rinse container before recycling.,,"Silica-based material, may contain additives for color or strength."
crumpled weeds,Vegetation,Large branches may need to be cut to appropriate size.,,Plant matter composed primarily of cellulose and lignin.
personal black tree limbs with liquid inside,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
intact small yogurt container,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
soiled mini orange peel with contents,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
industrial floral plant cuttings with product remaining,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
plastic lid,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
ripped large transparent potted plant,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
wrinkled tiny egg shells with food residue,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
brown fabric scrap empty,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
broken tiny black bread with liquid inside,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
personal linen cloth,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
